name	taxid
Aeromonas lacus	558884
Aeromonas lusitana	931529
Aeromonas media	651
Aeromonas molluscorum	271417
Aeromonas piscicola	600645
Aeromonas popoffii	70856
Aeromonas rivipollensis	948519
Aeromonas rivuli	648794
Aeromonas salmonicida	645
Aeromonas sanarellii	633415
Aeromonas schubertii	652
Aeromonas simiae	218936
Aeromonas sobria	646
Aeromonas taiwanensis	633417
Aeromonas tecta	324617
Aeromonas veronii	654
Aestuariibacter halophilus	226011
Aestuariibacter salexigens	226010
Aestuariibaculum scopimerae	1367864
Aestuariibaculum suncheonense	1028745
Aestuariicella hydrocarbonica	1470433
Aestuariihabitans beolgyonensis	1307136
Aestuariimicrobium kwangyangense	396389
Aestuariispira insulae	1461337
Aestuariivita boseongensis	1470562
Aestuariivivens insulae	1621988
Aetherobacter fasciculatus	888830
Aetherobacter rufus	888831
Afifella marina	1080
Afifella pfennigii	1120956
Afipia birgiae	1197906
Afipia broomeae	56946
Afipia lausannensis	324687
Afipia massiliensis	211460
Agaribacter marinus	1431249
Agaricicola taiwanensis	591372
Agarilytica rhodophyticola	1737490
Agarivorans aestuarii	1563703
Agarivorans albus	182262
Agarivorans gilvus	680279
Agarivorans litoreus	1510455
Agathobacter ruminis	1712665
Aggregatibacter actinomycetemcomitans	714
Aggregatibacter aphrophilus	732
Aggregatibacter segnis	739
Agitococcus lubricus	1077255
Agreia bicolorata	110935
Agreia pratensis	150121
Agrobacterium albertimagni	147266
Agrobacterium arsenijevicii	1585697
Agrobacterium fabrum	1176649
Agrobacterium larrymoorei	160699
Agrobacterium rhizogenes	359
Agrobacterium rubi	28099
Agrobacterium tumefaciens	358
Agrobacterium viscosum	300300
Agrobacterium vitis	373
Agrococcus baldri	153730
Agrococcus carbonis	684552
Agrococcus casei	343512
Agrococcus citreus	84643
Agrococcus jejuensis	399736
Agrococcus jenensis	46353
Agrococcus lahaulensis	341722
Agrococcus terreus	574649
Agrococcus versicolor	501482
Agromyces albus	205332
Agromyces allii	393607
Agromyces arachidis	766966
Agromyces atrinae	592376
Agromyces aurantiacus	165814
Agromyces aureus	453304
Agromyces bauzanensis	1308924
Agromyces bracchium	88376
Agromyces cerinus	33878
Agromyces flavus	589382
Agromyces fucosus	41985
Agromyces hippuratus	286438
Agromyces humatus	279573
Agromyces indicus	758919
Agromyces insulae	1644105
Agromyces iriomotensis	717856
Agromyces italicus	279572
Agromyces lapidis	279574
Agromyces luteolus	88373
Agromyces marinus	1389020
Agromyces mediolanus	41986
Agromyces neolithicus	269420
Agromyces ramosus	33879
Agromyces rhizospherae	88374
Agromyces salentinus	269421
Agromyces soli	659012
Agromyces subbeticus	293890
Agromyces subtropicus	717859
Agromyces succinolyticus	41987
Agromyces terreus	424795
Agromyces tropicus	555371
Agromyces ulmi	248902
Ahrensia kielensis	76980
Ahrensia marina	1514904
Aidingimonas halophila	574349
Akkermansia glycaniphila	1679444
Akkermansia muciniphila	239935
Albibacter methylovorans	128802
Albidovulum inexpectatum	196587
Albidovulum xiamenense	990712
Albimonas donghaensis	356660
Albirhodobacter marinus	992290
Alcaligenes aquatilis	323284
Alcaligenes endophyticus	1929088
Alcaligenes faecalis	511
Alcaligenes pakistanensis	1482717
Alcanivorax balearicus	413232
Alcanivorax borkumensis	393595
Alcanivorax dieselolei	285091
Alcanivorax hongdengensis	1177179
Alcanivorax indicus	2202653
Alcanivorax jadensis	1177181
Alcanivorax nanhaiticus	1177154
Alcanivorax pacificus	1306787
Alcanivorax venustensis	172371
Alcanivorax xenomutans	1094342
Algibacter aestuarii	912802
Algibacter agarilyticus	1109739
Algibacter agarivorans	1109741
Algibacter alginicilyticus	1736674
Algibacter amylolyticus	1608400
Algibacter aquimarinus	1136748
Algibacter lectus	221126
Algibacter mikhailovii	425498
Algibacter miyuki	1306933
Algibacter pectinivorans	870482
Algibacter psychrophilus	1484432
Algibacter undariae	1285464
Algibacter wandonensis	1343161
Algicola bacteriolytica	71383
Algicola sagamiensis	163869
Algimonas ampicilliniresistens	1298735
Algimonas arctica	1479486
Algimonas porphyrae	1128113
Algiphilus aromaticivorans	1415780
Algitalea ulvae	1627873
Algoriella xinjiangensis	684065
Algoriphagus antarcticus	238540
Algoriphagus aquimarinus	237018
Algoriphagus chordae	237019
Algoriphagus faecimaris	686796
Algoriphagus hitonicola	435880
Algoriphagus jejuensis	419934
Algoriphagus locisalis	305507
Algoriphagus marincola	264027
Algoriphagus marinus	1925762
Algoriphagus namhaensis	915353
Algoriphagus ornithinivorans	226506
Algoriphagus ratkowskyi	57028
Algoriphagus resistens	1750590
Algoriphagus terrigena	344884
Algoriphagus vanfongensis	426371
Algoriphagus winogradskyi	237017
Algoriphagus yeomjeoni	291403
Algoriphagus zhangzhouensis	1073327
Aliagarivorans marinus	561965
Aliagarivorans taiwanensis	561966
Alicycliphilus denitrificans	179636
Alicyclobacillus acidiphilus	182455
Alicyclobacillus acidocaldarius	405212
Alicyclobacillus acidocaldarius	521098
Alicyclobacillus acidoterrestris	1450
Alicyclobacillus aeris	545890
Alicyclobacillus cellulosilyticus	1003997
Alicyclobacillus contaminans	392016
Alicyclobacillus cycloheptanicus	1457
Alicyclobacillus dauci	1475485
Alicyclobacillus disulfidooxidans	42808
Alicyclobacillus fastidiosus	392011
Alicyclobacillus ferripilum	471513
Alicyclobacillus ferrooxydans	471514
Alicyclobacillus fodiniaquatilis	1661150
Alicyclobacillus herbarius	122960
Alicyclobacillus hesperidum	89784
Alicyclobacillus kakegawensis	392012
Alicyclobacillus macrosporangiidus	392015
Alicyclobacillus mali	1123961
Alicyclobacillus pomorum	1111479
Alicyclobacillus sacchari	392010
Alicyclobacillus sendaiensis	192387
Alicyclobacillus shizuokensis	392014
Alicyclobacillus tengchongensis	368812
Alicyclobacillus tolerans	90970
Alicyclobacillus vulcanalis	252246
Aliicoccus persicus	930138
Aliidiomarina haloalkalitolerans	859059
Aliidiomarina iranensis	1434071
Aliidiomarina maris	531312
Aliidiomarina minuta	880057
Aliidiomarina sanyensis	1249555
Aliidiomarina shirensis	1048642
Aliidiomarina soli	1928574
Aliidiomarina taiwanensis	946228
Aliidongia dinghuensis	1867774
Aliifodinibius halophilus	1736908
Aliifodinibius roseus	1194090
Aliifodinibius salicampi	1920655
Aliifodinibius sediminis	1214077
Aliiglaciecola aliphaticivorans	1607954
Aliiglaciecola coringensis	1406886
Aliiglaciecola lipolytica	477689
Aliiglaciecola litoralis	582857
Aliihoeflea aestuarii	453840
Aliikangiella marina	1712262
Aliiroseovarius crassostreae	154981
Aliiroseovarius halocynthiae	985055
Aliiroseovarius pelagivivens	1639690
Aliiroseovarius sediminilitoris	1173584
Aliiroseovarius zhejiangensis	1632025
Aliivibrio finisterrensis	511998
Aliivibrio fischeri	668
Aliivibrio logei	688
Aliivibrio salmonicida	40269
Aliivibrio sifiae	566293
Aliivibrio wodanis	80852
Alishewanella agri	1195246
Alishewanella fetalis	111143
Alishewanella jeotgali	1129374
Alishewanella longhuensis	1091037
Alishewanella solinquinati	522468
Alishewanella tabrizica	671278
Alistipes finegoldii	214856
Alistipes finegoldii	679935
Alistipes ihumii	1211813
Alistipes indistinctus	742725
Alistipes inops	1501391
Alistipes massiliensis	265312
Alistipes obesi	1118061
Alistipes onderdonkii	328813
